Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
935,0.146094,2311
936,0.146250,3335
937,0.146406,3335
938,0.146563,2824
939,0.146719,1287
940,0.146875,3335
941,0.147031,1031
942,0.147187,3336
943,0.147344,3335
944,0.147500,2824
945,0.147656,1287
946,0.147813,1031
947,0.147969,2824
948,0.148125,3335
949,0.148281,2055
950,0.148438,1800
951,0.148594,2823
952,0.148750,1287
953,0.148906,1800
954,0.149062,3079
955,0.149219,1288
956,0.149375,1799
957,0.149531,2055
958,0.149688,2824
959,0.149844,1287
960,0.150000,2823
961,0.150156,2823
962,0.150312,3336
963,0.150469,2056
964,0.150625,1800
965,0.150781,1287
966,0.150938,1031
967,0.151094,2312
968,0.151250,2312
969,0.151406,2056
970,0.151562,1287
971,0.151719,3591
972,0.151875,3335
973,0.152031,2312
974,0.152188,2311
975,0.152344,776
976,0.152500,2311
977,0.152656,2312
978,0.152812,1287
979,0.152969,1288
980,0.153125,2056
981,0.153281,3335
982,0.153438,263
983,0.153594,1287
984,0.153750,2312
985,0.153906,2311
986,0.154062,2056
987,0.154219,3079
988,0.154375,1543
989,0.154531,1287
990,0.154688,2312
991,0.154844,2823
992,0.155000,2055
993,0.155156,2055
994,0.155312,2567
995,0.155469,1799
996,0.155625,1287
997,0.155781,2822
998,0.155938,1800
999,0.156094,3080
1000,0.156250,2311
1001,0.156406,1031
1002,0.156562,2822
1003,0.156719,2055
1004,0.156875,3080
1005,0.157031,3335
1006,0.157188,2055
1007,0.157344,2055
1008,0.157500,1031
1009,0.157656,2823
1010,0.157812,2823
1011,0.157969,3847
1012,0.158125,3335
1013,0.158281,1286
1014,0.158438,2311
1015,0.158594,3337
1016,0.158750,1287
1017,0.158906,1287
1018,0.159062,3335
1019,0.159219,264
1020,0.159375,2824
1021,0.159531,2823
1022,0.159688,1799
1023,0.159844,3335
1024,0.160000,1799
1025,0.160156,2823
1026,0.160312,3336
1027,0.160469,263
1028,0.160625,3080
1029,0.160781,265
1030,0.160938,3848
1031,0.161094,2312
1032,0.161250,1286
1033,0.161406,3591
1034,0.161562,1288
1035,0.161719,2312
1036,0.161875,2312
1037,0.162031,1031
1038,0.162188,2056
1039,0.162344,2824
1040,0.162500,2311
1041,0.162656,2311
1042,0.162812,3079
1043,0.162969,3335
1044,0.163125,1287
1045,0.163281,2824
1046,0.163438,3334
1047,0.163594,1286
1048,0.163750,2311
1049,0.163906,1799
1050,0.164062,1287
1051,0.164219,1288
1052,0.164375,1287
1053,0.164531,1288
1054,0.164687,774
1055,0.164844,1032
1056,0.165000,2056
1057,0.165156,2311
1058,0.165313,264
1059,0.165469,3079
1060,0.165625,2312
1061,0.165781,775
1062,0.165937,2311
1063,0.166094,1032
1064,0.166250,3335
1065,0.166406,3847
1066,0.166563,1288
1067,0.166719,1799
1068,0.166875,3335
1069,0.167031,2055
1070,0.167187,1288
1071,0.167344,3847
1072,0.167500,1799
1073,0.167656,2055
1074,0.167813,2311
1075,0.167969,3335
1076,0.168125,1032
1077,0.168281,2055
1078,0.168437,1287
1079,0.168594,1288
1080,0.168750,2823
1081,0.168906,2312
1082,0.169063,2311
1083,0.169219,3079
1084,0.169375,1288
1085,0.169531,1799
1086,0.169687,1031
1087,0.169844,3080
1088,0.170000,1799
1089,0.170156,2055
1090,0.170313,2056
1091,0.170469,1800
1092,0.170625,3080
1093,0.170781,3336
1094,0.170937,2823
1095,0.171094,3336
1096,0.171250,1031
1097,0.171406,1799
1098,0.171563,2311
1099,0.171719,264
1100,0.171875,2056
1101,0.172031,1798
1102,0.172187,775
1103,0.172344,3335
1104,0.172500,3336
1105,0.172656,2823
1106,0.172813,2823
1107,0.172969,3335
1108,0.173125,2823
1109,0.173281,2824
1110,0.173437,1799
1111,0.173594,2056
1112,0.173750,1287
1113,0.173906,3079
1114,0.174063,3079
1115,0.174219,3335
1116,0.174375,3080
1117,0.174531,775
1118,0.174687,775
1119,0.174844,1800
1120,0.175000,1287
1121,0.175156,1288
1122,0.175313,1032
1123,0.175469,2312
1124,0.175625,1287
1125,0.175781,1288
1126,0.175937,3080
1127,0.176094,3079
1128,0.176250,3080
1129,0.176406,2311
1130,0.176563,2824
1131,0.176719,3080
1132,0.176875,3335
1133,0.177031,2312
1134,0.177187,2056
1135,0.177344,3336
1136,0.177500,3847
1137,0.177656,1032
1138,0.177813,1288
1139,0.177969,1287
1140,0.178125,1544
1141,0.178281,2312
1142,0.178437,1032
1143,0.178594,2055
1144,0.178750,1800
1145,0.178906,1799
1146,0.179063,1032
1147,0.179219,2824
1148,0.179375,2055
1149,0.179531,2823
1150,0.179688,2311
1151,0.179844,3080
1152,0.180000,2312
1153,0.180156,3336
1154,0.180312,2312
1155,0.180469,2312
1156,0.180625,1287
1157,0.180781,2823
1158,0.180938,2310
1159,0.181094,2312
1160,0.181250,1031
1161,0.181406,1800
1162,0.181562,2056
1163,0.181719,1799
1164,0.181875,2056
1165,0.182031,2312
1166,0.182188,3079
1167,0.182344,776
1168,0.182500,2823
1169,0.182656,3336
1170,0.182812,1287
1171,0.182969,2312
1172,0.183125,3335
1173,0.183281,2824
1174,0.183438,2312
1175,0.183594,3336
1176,0.183750,1544
1177,0.183906,3335
1178,0.184062,2311
1179,0.184219,3080
1180,0.184375,775
1181,0.184531,2311
1182,0.184688,776
1183,0.184844,519
1184,0.185000,1031
1185,0.185156,3336
1186,0.185312,3336
1187,0.185469,1543
1188,0.185625,1031
1189,0.185781,3847
1190,0.185938,3335
1191,0.186094,1288
1192,0.186250,3079
1193,0.186406,263
1194,0.186562,1287
1195,0.186719,3336
1196,0.186875,1287
1197,0.187031,3336
1198,0.187188,3080
1199,0.187344,2312
1200,0.187500,3336
1201,0.187656,1286
1202,0.187812,1800
1203,0.187969,2055
1204,0.188125,3847
1205,0.188281,2311
1206,0.188438,775
1207,0.188594,3591
1208,0.188750,3590
1209,0.188906,3335
1210,0.189062,1801
1211,0.189219,1030
1212,0.189375,2312
1213,0.189531,3335
1214,0.189688,2824
1215,0.189844,1287
1216,0.190000,3336
1217,0.190156,1031
1218,0.190312,2567
1219,0.190469,1032
1220,0.190625,774
1221,0.190781,1287
1222,0.190938,1287
1223,0.191094,2824
1224,0.191250,775
1225,0.191406,1800
1226,0.191562,2055
1227,0.191719,1288
1228,0.191875,265
1229,0.192031,1287
1230,0.192188,1799
1231,0.192344,1800
1232,0.192500,2311
1233,0.192656,3080
1234,0.192812,3335
1235,0.192969,3080
1236,0.193125,3336
1237,0.193281,2824
1238,0.193438,2823
1239,0.193594,3335
1240,0.193750,1287
1241,0.193906,3335
1242,0.194062,263
1243,0.194219,1031
1244,0.194375,1287
1245,0.194531,3336
1246,0.194688,2311
1247,0.194844,1288
1248,0.195000,3079
1249,0.195156,2823
1250,0.195312,3079
1251,0.195469,3079
1252,0.195625,1031
1253,0.195781,1286
1254,0.195937,2055
1255,0.196094,1288
1256,0.196250,1031
1257,0.196406,2311
1258,0.196563,3335
1259,0.196719,1799
1260,0.196875,3335
